name,description,format,weight,puuid,vocabulary_machine_name,parent
400,"Fourth-year students",basic_html,0,1a1d2123-f804-4422-a804-4b8dbac66c09,level,
200,"Second-year students",basic_html,0,303784bc-13af-4575-aa09-09767905c37f,level,
300,"Third-year students",basic_html,0,4944ea70-8316-4c15-b700-fef7433b5b45,level,
500,"Fifth-year students",basic_html,0,7231ff2c-8ffb-4da9-9400-b3d3f0d789bd,level,
600,"Sixth-year students",basic_html,0,bd4ee85a-f69c-433d-a203-3ddabdbcff0b,level,
100,"First-year students",basic_html,0,f0e655bc-4519-4095-a811-17a3eb7d8bf9,level,
