name,description,format,weight,puuid,vocabulary_machine_name,parent
Part-time,,basic_html,0,9af33abe-fcfd-00b4-f5e0-c4fa0af60170,study_mode,
"Evening classes",,basic_html,0,a024251d-4b09-0ff4-f9b0-8a4f5963cef5,study_mode,
Extra-mural,,basic_html,0,a27a0224-0f0c-2014-d13d-f983cbb9cbaa,study_mode,
Full-time,,basic_html,0,e56b38c9-96b9-6204-61e9-c06030d30a47,study_mode,
