name,description,format,weight,puuid,vocabulary_machine_name,parent
CD/DVD,,"Didactic material presented through digital or electronic devices",0,1f4c5f7c-8ff2-8be4-f1d7-67f94f4b8a9d,delivery_method,
Online,,"Instruction material made available online in various formats eg webcasts, podcasts, downloads etc",0,3a8d4a26-94d0-4c04-ad8d-e87e3282aac6,delivery_method,
Project,"A project researched over a period of time",basic_html,0,72ce8ae0-9f01-4be9-9b06-6d48c5ec2a47,delivery_method,
Lecture,"Formal lectures in a classroom",basic_html,0,88410bc5-0eea-8034-f5d3-a4615dd494a6,delivery_method,
Laboratory,"Practical sessions in a laboratory or workshop",basic_html,0,89774461-9a05-ce04-7591-49f84542cc9c,delivery_method,
