Adrian	g	0	1		a:2:{s:9:"givenname";s:6:"Adrian";s:6:"gender";s:1:"m";}
Adrien	g	0	1		a:2:{s:9:"givenname";s:6:"Adrien";s:6:"gender";s:1:"m";}
Ælfric	g	0	1		a:2:{s:9:"givenname";s:7:"Ælfric";s:6:"gender";s:1:"m";}
Ælfwald	g	0	1		a:2:{s:9:"givenname";s:8:"Ælfwald";s:6:"gender";s:1:"m";}
Ælfwine	g	0	1		a:2:{s:9:"givenname";s:8:"Ælfwine";s:6:"gender";s:1:"m";}
Ælle	g	0	1		a:2:{s:9:"givenname";s:5:"Ælle";s:6:"gender";s:1:"m";}
Aeropos	g	0	1		a:2:{s:9:"givenname";s:7:"Aeropos";s:6:"gender";s:1:"m";}
Æthelfrith	g	0	1		a:2:{s:9:"givenname";s:11:"Æthelfrith";s:6:"gender";s:1:"m";}
Æthelheard	g	0	1		a:2:{s:9:"givenname";s:11:"Æthelheard";s:6:"gender";s:1:"m";}
Æthelred	g	0	1		a:2:{s:9:"givenname";s:9:"Æthelred";s:6:"gender";s:1:"m";}
Æthelric	g	0	1		a:2:{s:9:"givenname";s:9:"Æthelric";s:6:"gender";s:1:"m";}
Æthelstan	g	0	1		a:2:{s:9:"givenname";s:10:"Æthelstan";s:6:"gender";s:1:"m";}
Æthelwald	g	0	1		a:2:{s:9:"givenname";s:10:"Æthelwald";s:6:"gender";s:1:"m";}
Æthelweard	g	0	1		a:2:{s:9:"givenname";s:11:"Æthelweard";s:6:"gender";s:1:"m";}
Æthelwine	g	0	1		a:2:{s:9:"givenname";s:10:"Æthelwine";s:6:"gender";s:1:"m";}
Afra	g	0	1		a:2:{s:9:"givenname";s:4:"Afra";s:6:"gender";s:1:"m";}
Åge	g	0	1		a:2:{s:9:"givenname";s:4:"Åge";s:6:"gender";s:1:"m";}
Agelas	g	0	1		a:2:{s:9:"givenname";s:6:"Agelas";s:6:"gender";s:1:"m";}
Agesander	g	0	1		a:2:{s:9:"givenname";s:9:"Agesander";s:6:"gender";s:1:"m";}
Agesilaos	g	0	1		a:2:{s:9:"givenname";s:9:"Agesilaos";s:6:"gender";s:1:"m";}
Agesipolis	g	0	1		a:2:{s:9:"givenname";s:10:"Agesipolis";s:6:"gender";s:1:"m";}
Ägidius	g	0	1		a:2:{s:9:"givenname";s:8:"Ägidius";s:6:"gender";s:1:"m";}
Ägir	g	0	1		a:2:{s:9:"givenname";s:5:"Ägir";s:6:"gender";s:1:"m";}
Agis	g	0	1		a:2:{s:9:"givenname";s:4:"Agis";s:6:"gender";s:1:"m";}
Agon	g	0	1		a:2:{s:9:"givenname";s:4:"Agon";s:6:"gender";s:1:"m";}
Agrippa	g	0	1		a:2:{s:9:"givenname";s:7:"Agrippa";s:6:"gender";s:1:"m";}
Agustín	g	0	1		a:2:{s:9:"givenname";s:8:"Agustín";s:6:"gender";s:1:"m";}
Aharon	g	0	1		a:2:{s:9:"givenname";s:6:"Aharon";s:6:"gender";s:1:"m";}
Ahilan	g	0	1		a:2:{s:9:"givenname";s:6:"Ahilan";s:6:"gender";s:1:"m";}
Ahmad	g	0	1		a:2:{s:9:"givenname";s:5:"Ahmad";s:6:"gender";s:1:"m";}
Ahmet	g	0	1		a:2:{s:9:"givenname";s:5:"Ahmet";s:6:"gender";s:1:"m";}
Aigialeus	g	0	1		a:2:{s:9:"givenname";s:9:"Aigialeus";s:6:"gender";s:1:"m";}
Aiko	g	0	1		a:2:{s:9:"givenname";s:4:"Aiko";s:6:"gender";s:1:"m";}
Aiman	g	0	1		a:2:{s:9:"givenname";s:5:"Aiman";s:6:"gender";s:1:"m";}
Aimé	g	0	1		a:2:{s:9:"givenname";s:5:"Aimé";s:6:"gender";s:1:"m";}
Aimo	g	0	1		a:2:{s:9:"givenname";s:4:"Aimo";s:6:"gender";s:1:"m";}
Aitor	g	0	1		a:2:{s:9:"givenname";s:5:"Aitor";s:6:"gender";s:1:"m";}
Aivar	g	0	1		a:2:{s:9:"givenname";s:5:"Aivar";s:6:"gender";s:1:"m";}
Aivars	g	0	1		a:2:{s:9:"givenname";s:6:"Aivars";s:6:"gender";s:1:"m";}
Ajay	g	0	1		a:2:{s:9:"givenname";s:4:"Ajay";s:6:"gender";s:1:"m";}
Akai	g	0	1		a:2:{s:9:"givenname";s:4:"Akai";s:6:"gender";s:1:"m";}
Akay	g	0	1		a:2:{s:9:"givenname";s:4:"Akay";s:6:"gender";s:1:"m";}
Åke	g	0	1		a:2:{s:9:"givenname";s:4:"Åke";s:6:"gender";s:1:"m";}
Akgün	g	0	1		a:2:{s:9:"givenname";s:6:"Akgün";s:6:"gender";s:1:"m";}
Aki	g	0	1		a:2:{s:9:"givenname";s:3:"Aki";s:6:"gender";s:1:"m";}
Akiba	g	0	1		a:2:{s:9:"givenname";s:5:"Akiba";s:6:"gender";s:1:"m";}
Akira	g	0	1		a:2:{s:9:"givenname";s:5:"Akira";s:6:"gender";s:1:"m";}
Ákos	g	0	1		a:2:{s:9:"givenname";s:5:"Ákos";s:6:"gender";s:1:"m";}
Alain	g	0	1		a:2:{s:9:"givenname";s:5:"Alain";s:6:"gender";s:1:"m";}
Alan	g	0	1		a:2:{s:9:"givenname";s:4:"Alan";s:6:"gender";s:1:"m";}
Alastair	g	0	1		a:2:{s:9:"givenname";s:8:"Alastair";s:6:"gender";s:1:"m";}
Alban	g	0	1		a:2:{s:9:"givenname";s:5:"Alban";s:6:"gender";s:1:"m";}
Alberich	g	0	1		a:2:{s:9:"givenname";s:8:"Alberich";s:6:"gender";s:1:"m";}
Albert	g	0	1		a:2:{s:9:"givenname";s:6:"Albert";s:6:"gender";s:1:"m";}
Albertas	g	0	1		a:2:{s:9:"givenname";s:8:"Albertas";s:6:"gender";s:1:"m";}
Albin	g	0	1		a:2:{s:9:"givenname";s:5:"Albin";s:6:"gender";s:1:"m";}
Albrecht	g	0	1		a:2:{s:9:"givenname";s:8:"Albrecht";s:6:"gender";s:1:"m";}
Albwin	g	0	1		a:2:{s:9:"givenname";s:6:"Albwin";s:6:"gender";s:1:"m";}
Alcetes	g	0	1		a:2:{s:9:"givenname";s:7:"Alcetes";s:6:"gender";s:1:"m";}
Alcide	g	0	1		a:2:{s:9:"givenname";s:6:"Alcide";s:6:"gender";s:1:"m";}
Aldhelm	g	0	1		a:2:{s:9:"givenname";s:7:"Aldhelm";s:6:"gender";s:1:"m";}
Aldo	g	0	1		a:2:{s:9:"givenname";s:4:"Aldo";s:6:"gender";s:1:"m";}
Aled	g	0	1		a:2:{s:9:"givenname";s:4:"Aled";s:6:"gender";s:1:"m";}
Alejandro	g	0	1		a:2:{s:9:"givenname";s:9:"Alejandro";s:6:"gender";s:1:"m";}
Alen	g	0	1		a:2:{s:9:"givenname";s:4:"Alen";s:6:"gender";s:1:"m";}
Alessandro	g	0	1		a:2:{s:9:"givenname";s:10:"Alessandro";s:6:"gender";s:1:"m";}
Aletes	g	0	1		a:2:{s:9:"givenname";s:6:"Aletes";s:6:"gender";s:1:"m";}
Alexander	g	0	1		a:2:{s:9:"givenname";s:9:"Alexander";s:6:"gender";s:1:"m";}
Alexei	g	0	1		a:2:{s:9:"givenname";s:6:"Alexei";s:6:"gender";s:1:"m";}
Alexis	g	0	1		a:2:{s:9:"givenname";s:6:"Alexis";s:6:"gender";s:1:"m";}
Alfke	g	0	1		a:2:{s:9:"givenname";s:5:"Alfke";s:6:"gender";s:1:"m";}
Alfons	g	0	1		a:2:{s:9:"givenname";s:6:"Alfons";s:6:"gender";s:1:"m";}
Alfred	g	0	1		a:2:{s:9:"givenname";s:6:"Alfred";s:6:"gender";s:1:"m";}
Algernon	g	0	1		a:2:{s:9:"givenname";s:8:"Algernon";s:6:"gender";s:1:"m";}
Algimantas	g	0	1		a:2:{s:9:"givenname";s:10:"Algimantas";s:6:"gender";s:1:"m";}
Algirdas	g	0	1		a:2:{s:9:"givenname";s:8:"Algirdas";s:6:"gender";s:1:"m";}
Algis	g	0	1		a:2:{s:9:"givenname";s:5:"Algis";s:6:"gender";s:1:"m";}
Ali	g	0	1		a:2:{s:9:"givenname";s:3:"Ali";s:6:"gender";s:1:"m";}
Alieu	g	0	1		a:2:{s:9:"givenname";s:5:"Alieu";s:6:"gender";s:1:"m";}
Alis	g	0	1		a:2:{s:9:"givenname";s:4:"Alis";s:6:"gender";s:1:"m";}
Alister	g	0	1		a:2:{s:9:"givenname";s:7:"Alister";s:6:"gender";s:1:"m";}
Alkamenes	g	0	1		a:2:{s:9:"givenname";s:9:"Alkamenes";s:6:"gender";s:1:"m";}
Alkan	g	0	1		a:2:{s:9:"givenname";s:5:"Alkan";s:6:"gender";s:1:"m";}
Allie	g	0	1		a:2:{s:9:"givenname";s:5:"Allie";s:6:"gender";s:1:"m";}
Álmos	g	0	1		a:2:{s:9:"givenname";s:6:"Álmos";s:6:"gender";s:1:"m";}
Alois	g	0	1		a:2:{s:9:"givenname";s:5:"Alois";s:6:"gender";s:1:"m";}
Alonso	g	0	1		a:2:{s:9:"givenname";s:6:"Alonso";s:6:"gender";s:1:"m";}
Alparslan	g	0	1		a:2:{s:9:"givenname";s:9:"Alparslan";s:6:"gender";s:1:"m";}
Alper	g	0	1		a:2:{s:9:"givenname";s:5:"Alper";s:6:"gender";s:1:"m";}
Alperen	g	0	1		a:2:{s:9:"givenname";s:7:"Alperen";s:6:"gender";s:1:"m";}
Alphonse	g	0	1		a:2:{s:9:"givenname";s:8:"Alphonse";s:6:"gender";s:1:"m";}
Altan	g	0	1		a:2:{s:9:"givenname";s:5:"Altan";s:6:"gender";s:1:"m";}
Altay	g	0	1		a:2:{s:9:"givenname";s:5:"Altay";s:6:"gender";s:1:"m";}
Altor	g	0	1		a:2:{s:9:"givenname";s:5:"Altor";s:6:"gender";s:1:"m";}
Alun	g	0	1		a:2:{s:9:"givenname";s:4:"Alun";s:6:"gender";s:1:"m";}
Alva	g	0	1		a:2:{s:9:"givenname";s:4:"Alva";s:6:"gender";s:1:"m";}
Alvar	g	0	1		a:2:{s:9:"givenname";s:5:"Alvar";s:6:"gender";s:1:"m";}
Álvar	g	0	1		a:2:{s:9:"givenname";s:6:"Álvar";s:6:"gender";s:1:"m";}
Alvaro	g	0	1		a:2:{s:9:"givenname";s:6:"Alvaro";s:6:"gender";s:1:"m";}
Álvaro	g	0	1		a:2:{s:9:"givenname";s:7:"Álvaro";s:6:"gender";s:1:"m";}
Alwin	g	0	1		a:2:{s:9:"givenname";s:5:"Alwin";s:6:"gender";s:1:"m";}
Amadeus	g	0	1		a:2:{s:9:"givenname";s:7:"Amadeus";s:6:"gender";s:1:"m";}
Amalrich	g	0	1		a:2:{s:9:"givenname";s:8:"Amalrich";s:6:"gender";s:1:"m";}
Amédée	g	0	1		a:2:{s:9:"givenname";s:8:"Amédée";s:6:"gender";s:1:"m";}
Amedeo	g	0	1		a:2:{s:9:"givenname";s:6:"Amedeo";s:6:"gender";s:1:"m";}
Amelius	g	0	1		a:2:{s:9:"givenname";s:7:"Amelius";s:6:"gender";s:1:"m";}
Amin	g	0	1		a:2:{s:9:"givenname";s:4:"Amin";s:6:"gender";s:1:"m";}
Ammar	g	0	1		a:2:{s:9:"givenname";s:5:"Ammar";s:6:"gender";s:1:"m";}
Amos	g	0	1		a:2:{s:9:"givenname";s:4:"Amos";s:6:"gender";s:1:"m";}
Amphion	g	0	1		a:2:{s:9:"givenname";s:7:"Amphion";s:6:"gender";s:1:"m";}
Amram	g	0	1		a:2:{s:9:"givenname";s:5:"Amram";s:6:"gender";s:1:"m";}
Amyntas	g	0	1		a:2:{s:9:"givenname";s:7:"Amyntas";s:6:"gender";s:1:"m";}
Anas	g	0	1		a:2:{s:9:"givenname";s:4:"Anas";s:6:"gender";s:1:"m";}
Anastasius	g	0	1		a:2:{s:9:"givenname";s:10:"Anastasius";s:6:"gender";s:1:"m";}
Anaxandridas	g	0	1		a:2:{s:9:"givenname";s:12:"Anaxandridas";s:6:"gender";s:1:"m";}
Anđelko	g	0	1		a:2:{s:9:"givenname";s:8:"Anđelko";s:6:"gender";s:1:"m";}
Anders	g	0	1		a:2:{s:9:"givenname";s:6:"Anders";s:6:"gender";s:1:"m";}
Andor	g	0	1		a:2:{s:9:"givenname";s:5:"Andor";s:6:"gender";s:1:"m";}
André	g	0	1		a:2:{s:9:"givenname";s:6:"André";s:6:"gender";s:1:"m";}
Andrea	g	0	1		a:2:{s:9:"givenname";s:6:"Andrea";s:6:"gender";s:1:"m";}
Andreas	g	0	1		a:2:{s:9:"givenname";s:7:"Andreas";s:6:"gender";s:1:"m";}
