2, 84, 84.8, 87.2, 90.2, 93.2, 94.5, 95.6, 90.2
3, 91.9, 93.7, 95.9, 98.1, 101.5, 102.8, 104.1, 98.3
4, 99.2, 100.6, 101.9, 105.2, 107.9, 110.4, 111.9, 105.2
5, 105.2, 105.8, 107.4, 111.7, 116.6, 119, 119.6, 112.2
6, 112.7, 113.3, 114.8, 118.2, 122.8, 125.7, 127.6, 119
7, 118, 119.3, 121.4, 125.6, 129.3, 131.5, 133.1, 125.8
8, 123.3, 124.3, 126.8, 130.5, 135.2, 137.9, 138.7, 131.3
9, 130.2, 131.4, 133.4, 138.3, 143.7, 146, 147.1, 138.6
10, 135, 136.9, 138.6, 143.7, 148.7, 151.3, 152.8, 144.2
11, 141.1, 143.8, 146.2, 151.4, 156.9, 159.9, 161.3, 151.3
12, 148.3, 149.4, 152, 156.7, 160.8, 164, 166.6, 156.7
13, 150, 151.2, 153.8, 157.7, 163, 166.5, 167.9, 158.6
14, 150.7, 152.3, 155.7, 161, 165, 167.5, 169.3, 160.5
15, 154.3, 155.9, 158.4, 162, 165.8, 168.5, 170.1, 162.1
16, 153.6, 154.7, 157, 162.8, 168.7, 171.5, 172.4, 162.9
17, 155.6, 157, 158.5, 162.2, 166.2, 168, 169.2, 162.2
18, 154.7, 156.1, 158.4, 162.8, 167.6, 169.8, 171.1, 163
19, 153.1, 155.4, 158.1, 163.3, 168, 170.3, 172.4, 163.1
