 # chars used for the type:
 # ,: a comma
 # g: a givenname
 # s: a surname
 # v: "von" and variants
 # d: "der" and variants (only used in conjunction with von: "von der Vogelweide"
 # z: "zu" and variants
 # u: "und" (only used in vuz)

Altan	g	0	1		
Altay	g	0	1		
Altor	g	0	1		
Alun	g	0	1		
Alva	g	0	1		
Alvar	g	0	1		
Álvar	g	0	1		
Alvaro	g	0	1		
Álvaro	g	0	1		
Alwin	g	0	1		
Alwine	g	0	1		
Alyssa	g	0	1		
Amadeus	g	0	1		
Amalberga	g	0	1		
Amalie	g	0	1		
Amalrich	g	0	1		
Amana	g	0	1		
Amanda	g	0	1		
Amber	g	0	1		
Amédée	g	0	1		
Amedeo	g	0	1		
Amelie	g	0	1		
Amélie	g	0	1		
Amelius	g	0	1		
Amin	g	0	1		
Amina	g	0	1		
Aminata	g	0	1		
Amira	g	0	1		
Ammar	g	0	1		
Amos	g	0	1		
Amparo	g	0	1		
Amphion	g	0	1		
Amram	g	0	1		
Amrei	g	0	1		
Amy	g	0	1		
Amyntas	g	0	1		
Anaïs	g	0	1		
Anas	g	0	1		
Anastasia	g	0	1		
Anastasius	g	0	1		
Anaxandridas	g	0	1		
Anca	g	0	1		
Anđelko	g	0	1		
Anders	g	0	1		
Andor	g	0	1		
André	g	0	1		
Andrea	g	0	1		
Andreas	g	0	1		
Andree	g	0	1		
Andrei	g	0	1		
Andrej	g	0	1		
Andres	g	0	1		
Andrés	g	0	1		
Andreu	g	0	1		
Andrew	g	0	1		
Andries	g	0	1		
Andrin	g	0	1		
Andris	g	0	1		
Andrius	g	0	1		
Andrzej	g	0	1		
Anete	g	0	1		
Anett	g	0	1		
Ange	g	0	1		
Angel	g	0	1		
Ángel	g	0	1		
Angela	g	0	1		
Angele	g	0	1		
Angelika	g	0	1		
Angelina	g	0	1		
Angelique	g	0	1		
Angelo	g	0	1		
Anianus	g	0	1		
Anil	g	0	1		
Anıl	g	0	1		
Anita	g	0	1		
Anja	g	0	1		
Anjana	g	0	1		
Anjuli	g	0	1		
Ann	g	0	1		
Anna	g	0	1		
Annabel	g	0	1		
Annalena	g	0	1		
Annalisa	g	0	1		
Anne	g	0	1		
Annegret	g	0	1		
Anne-Kathrin	g	0	1		
Annelie	g	0	1		
Anneliese	g	0	1		
Annemarie	g	0	1		
Annemie	g	0	1		
Annemieke	g	0	1		
Annett	g	0	1		
Annette	g	0	1		
Annie	g	0	1		
Annika	g	0	1		
Annikki	g	0	1		
Anno	g	0	1		
Annunziata	g	0	1		
Anny	g	0	1		
Anouar	g	0	1		
Anouk	g	0	1		
Anselm	g	0	1		
Ansgar	g	0	1		
Ansgard	g	0	1		
Antal	g	0	1		
Antanas	g	0	1		
Antara	g	0	1		
Ante	g	0	1		
Anthony	g	0	1		
Antje	g	0	1		
Antoinette	g	0	1		
Anton	g	0	1		
Antonella	g	0	1		
Antoni	g	0	1		
Antonia	g	0	1		
Antonie	g	0	1		
Antoninus	g	0	1		
Antonios	g	0	1		
Antti	g	0	1		
Anwar	g	0	1		
Anže	g	0	1		
Aoife	g	0	1		
Aparna	g	0	1		
Apollonia	g	0	1		
Appius	g	0	1		
April	g	0	1		
Arash	g	0	1		
Araxi	g	0	1		
Archana	g	0	1		
Archibald	g	0	1		
Areus	g	0	1		
Aria	g	0	1		
Arian	g	0	1		
Ariane	g	0	1		
Ariano	g	0	1		
Aribert	g	0	1		
Ariel	g	0	1		
Ariella	g	0	1		
Arif	g	0	1		
Arife	g	0	1		
Arik	g	0	1		
Arina	g	0	1		
Aristeides	g	0	1		
Aristide	g	0	1		
Aristides	g	0	1		
Aristion	g	0	1		
Aristodemos	g	0	1		
Ariston	g	0	1		
Arjen	g	0	1		
Arkadius	g	0	1		
Armando	g	0	1		
Armgard	g	0	1		
Armin	g	0	1		
Armindo	g	0	1		
Arndt	g	0	1		
Arne	g	0	1		
Arnfried	g	0	1		
Árni	g	0	1		
Arnim	g	0	1		
Arno	g	0	1		
Arnold	g	0	1		
Arnor	g	0	1		
Arnór	g	0	1		
Arnošt	g	0	1		
